GEOID,NAME,total_18_34,child_householder_18_34,basement_dweller_pct,median_rentE,median_home_valueE,median_household_incomeE,youth_unemployed_2534E,labor_force_2534E,median_rent,youth_unemployment_rate,rent_to_income_ratio,state,puma_name,coastal_state,high_cost
0600101,Alameda County (North)--Berkeley & Albany Cities PUMA; California,42927,5664,13.194492976448387,2112,1247000,107912,3.9,14594,2112,3.9,0.23485803247090223,NA,Alameda County (North)--Berkeley & Albany Cities PUMA; California,FALSE,TRUE
0600111,Alameda County (Northwest)--Oakland City (Downtown/West Oakland/North Oakland) PUMA; California,32970,4352,13.199878677585684,1981,889900,97454,7,11971,1981,7,0.24393046976009194,NA,Alameda County (Northwest)--Oakland City (Downtown/West Oakland/North Oakland) PUMA; California,FALSE,TRUE
0600112,Alameda County (Northwest)--Oakland City (Oakland Hills) PUMA; California,21199,5242,24.72758148969291,2223,1214800,159885,5.1,16809,2223,5.1,0.16684491978609625,NA,Alameda County (Northwest)--Oakland City (Oakland Hills) PUMA; California,FALSE,TRUE
0600113,Alameda County (West)--Oakland City (Elmhurst/Central/East Oakland) PUMA; California,31551,11907,37.738898925549115,1672,630700,67575,3.8,15094,1672,3.8,0.2969145394006659,NA,Alameda County (West)--Oakland City (Elmhurst/Central/East Oakland) PUMA; California,FALSE,FALSE
0600114,"Alameda County (West)--San Leandro, Alameda, Emeryville & Piedmont Cities PUMA; California",42230,15518,36.74638882311153,2260,908800,116119,3.7,27329,2260,3.7,0.23355350976153774,NA,Alameda County (West)--San Leandro,FALSE,TRUE
0600115,Alameda County (Northwest)--Castro Valley & Ashland PUMA; California,20800,9635,46.32211538461539,2175,901700,104935,3.1,14881,2175,3.1,0.24872540143898603,NA,Alameda County (Northwest)--Castro Valley & Ashland PUMA; California,FALSE,TRUE
0600116,Alameda County (Central)--Hayward City (East) PUMA; California,25042,9904,39.549556744668955,2267,832000,119907,4.2,12975,2267,4.2,0.22687582876729465,NA,Alameda County (Central)--Hayward City (East) PUMA; California,FALSE,TRUE
0600117,"Alameda County (South)--Newark, Union City (West) & Fremont (West) Cities PUMA; California",22811,9946,43.60177107535838,2872,1087600,168435,3.6,14130,2872,3.6,0.20461305548134295,NA,Alameda County (South)--Newark,FALSE,TRUE
0600118,Alameda County (South)--Fremont (Northeast) & Union City (East) Cities PUMA; California,27555,10523,38.18907639266921,2701,1113900,147408,3.9,16098,2701,3.9,0.21987951807228914,NA,Alameda County (South)--Fremont (Northeast) & Union City (East) Cities PUMA; California,FALSE,TRUE
0600119,Alameda County (Central)--Pleasanton & Dublin (West) Cities PUMA; California,22928,8923,38.91748080949058,2935,1230400,172937,2.5,18470,2935,2.5,0.2036579794954232,NA,Alameda County (Central)--Pleasanton & Dublin (West) Cities PUMA; California,FALSE,TRUE
0600120,Alameda County (East)--Livermore & Dublin (East) Cities PUMA; California,20948,8743,41.73668130609127,2586,1041300,170681,2.9,17528,2586,2.9,0.18181285556095875,NA,Alameda County (East)--Livermore & Dublin (East) Cities PUMA; California,FALSE,TRUE
0600121,Alameda County (South)--Fremont City (Southeast) PUMA; California,24860,10172,40.91713596138375,2810,1345200,171536,3.3,17439,2810,3.3,0.19657681186456488,NA,Alameda County (South)--Fremont City (Southeast) PUMA; California,FALSE,TRUE
0600122,Alameda County (West)--Hayward City (West) PUMA; California,23089,10425,45.151370782623765,2241,772200,100106,5,12802,2241,5,0.26863524663856314,NA,Alameda County (West)--Hayward City (West) PUMA; California,FALSE,TRUE
0600123,Alameda County (Northwest)--Oakland City (San Antonio/Fruitvale) PUMA; California,27388,8655,31.601431283773916,1683,694700,69884,8.7,12062,1683,8.7,0.28899318871272395,NA,Alameda County (Northwest)--Oakland City (San Antonio/Fruitvale) PUMA; California,FALSE,FALSE
0600300,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties PUMA; California",28580,9501,33.24352694191742,1218,389900,71076,4.5,21849,1218,4.5,0.20563903427317237,NA,Alpine,FALSE,FALSE
0600700,Butte County--Chico City PUMA; California,56144,12242,21.804645198062126,1280,371600,66085,4.5,21966,1280,4.5,0.23242793372172202,NA,Butte County--Chico City PUMA; California,FALSE,FALSE
0601100,"Colusa, Glenn, Tehama & Trinity Counties PUMA; California",25782,9559,37.07625475137693,1053,306000,59806,5.4,14690,1053,5.4,0.21128314884794167,NA,Colusa,FALSE,FALSE
0601301,Contra Costa County (Far Southwest)--Richmond (Southwest) & San Pablo Cities PUMA; California,32524,14296,43.95523305866437,1778,574300,79588,5.9,16732,1778,5.9,0.2680806151681158,NA,Contra Costa County (Far Southwest)--Richmond (Southwest) & San Pablo Cities PUMA; California,FALSE,FALSE
0601305,Contra Costa County (South)--San Ramon City & Danville Town PUMA; California,20017,11921,59.55437877803866,2876,1386500,199849,4.3,26087,2876,4.3,0.17269038123783456,NA,Contra Costa County (South)--San Ramon City & Danville Town PUMA; California,FALSE,TRUE
0601308,Contra Costa County (Northeast)--Antioch City PUMA; California,27983,12708,45.41328663831612,2148,578200,92400,7.1,14999,2148,7.1,0.27896103896103897,NA,Contra Costa County (Northeast)--Antioch City PUMA; California,FALSE,TRUE
0601309,Contra Costa County (East)--Brentwood & Oakley Cities PUMA; California,24931,12949,51.93935261321246,2338,683200,130307,4.2,17902,2338,4.2,0.2153069290214647,NA,Contra Costa County (East)--Brentwood & Oakley Cities PUMA; California,FALSE,TRUE
0601310,"Contra Costa County (Far Northwest)--Richmond (North), Hercules & El Cerrito Cities PUMA; California",28176,11868,42.12095400340716,2269,734800,111611,6.4,18411,2269,6.4,0.24395444893424484,NA,Contra Costa County (Far Northwest)--Richmond (North),FALSE,TRUE
0601311,"Contra Costa County (West)--Concord (West), Martinez & Pleasant Hill Cities PUMA; California",25632,9836,38.373907615480654,2137,763200,112164,4,16165,2137,4,0.22862950679362362,NA,Contra Costa County (West)--Concord (West),FALSE,TRUE
0601312,"Contra Costa County (West)--Walnut Creek (West), Lafayette & Orinda Cities PUMA; California",12152,5433,44.70868992758394,2669,1434600,171462,5.8,14684,2669,5.8,0.1867935752528257,NA,Contra Costa County (West)--Walnut Creek (West),FALSE,TRUE
0601313,"Contra Costa County (Central)--Concord (South), Walnut Creek (East) & Clayton Cities PUMA; California",37555,14518,38.65796831314073,2420,893400,137220,2.8,22626,2420,2.8,0.21163095758635767,NA,Contra Costa County (Central)--Concord (South),FALSE,TRUE
0601314,Contra Costa County (North)--Pittsburg & Concord (North) Cities PUMA; California,27816,12702,45.66436583261432,2074,533600,92784,5.3,12407,2074,5.3,0.26823590274185205,NA,Contra Costa County (North)--Pittsburg & Concord (North) Cities PUMA; California,FALSE,TRUE
0601500,"Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties PUMA; California",20652,6316,30.582994383110595,1035,261300,58446,6.6,14630,1035,6.6,0.21250384970742223,NA,Del Norte,FALSE,FALSE
0601700,"El Dorado County--El Dorado Hills, South Lake Tahoe City & Placerville City PUMA; California",31969,13385,41.8686852888736,1597,597600,99246,3.3,24274,1597,3.3,0.19309594341333655,NA,El Dorado County--El Dorado Hills,FALSE,FALSE
0601901,"Fresno County (West)--Selma, Kerman & Coalinga Cities PUMA; California",34567,17126,49.54436312089565,1023,267400,54655,10.2,16352,1023,10.2,0.22460891043820327,NA,Fresno County (West)--Selma,FALSE,FALSE
0601902,Fresno County (North Central)--Fresno City (North) PUMA; California,47266,14735,31.17462869716075,1528,408500,88284,3.8,21814,1528,3.8,0.20769335326899552,NA,Fresno County (North Central)--Fresno City (North) PUMA; California,FALSE,FALSE
0601903,Fresno County (Central)--Fresno City (East Central) PUMA; California,30709,10446,34.01608648930281,1155,263200,51685,7.2,11364,1155,7.2,0.26816290993518427,NA,Fresno County (Central)--Fresno City (East Central) PUMA; California,FALSE,FALSE
